S1_D1_HbO,S1_D1_HbR,S1_D2_HbO,S1_D2_HbR,S1_D20_HbO,S1_D20_HbR,S2_D2_HbO,S2_D2_HbR,S2_D3_HbO,S2_D3_HbR,S2_D21_HbO,S2_D21_HbR,S3_D3_HbO,S3_D3_HbR,S3_D4_HbO,S3_D4_HbR,S3_D22_HbO,S3_D22_HbR,S4_D5_HbO,S4_D5_HbR,S4_D6_HbO,S4_D6_HbR,S4_D7_HbO,S4_D7_HbR,S4_D17_HbO,S4_D17_HbR,S4_D8_HbO,S4_D8_HbR,S4_D23_HbO,S4_D23_HbR,S5_D7_HbO,S5_D7_HbR,S5_D10_HbO,S5_D10_HbR,S5_D8_HbO,S5_D8_HbR,S5_D9_HbO,S5_D9_HbR,S5_D24_HbO,S5_D24_HbR,S6_D10_HbO,S6_D10_HbR,S6_D11_HbO,S6_D11_HbR,S6_D12_HbO,S6_D12_HbR,S6_D9_HbO,S6_D9_HbR,S6_D25_HbO,S6_D25_HbR,S7_D11_HbO,S7_D11_HbR,S7_D12_HbO,S7_D12_HbR,S7_D13_HbO,S7_D13_HbR,S7_D14_HbO,S7_D14_HbR,S7_D18_HbO,S7_D18_HbR,S7_D26_HbO,S7_D26_HbR,S8_D15_HbO,S8_D15_HbR,S8_D16_HbO,S8_D16_HbR,S8_D19_HbO,S8_D19_HbR,S8_D9_HbO,S8_D9_HbR,S8_D27_HbO,S8_D27_HbR
-1.11302621809177e-06,-2.91136650446502e-07,-9.02921705699059e-07,-1.50069803648614e-06,-6.18713613310152e-07,-1.08205714926098e-06,-1.23335569418435e-06,-1.36234625559883e-06,-4.50988734094281e-06,-2.59939398894264e-06,-1.30841341233681e-05,-7.67456501005994e-07,8.81215003480835e-07,-1.73006895543545e-06,1.62084857146666e-06,-2.80769424254087e-06,-1.75362873187477e-06,-1.48638432238883e-06,-2.31834540291328e-07,-8.72557472449943e-07,4.81470665523635e-07,-8.50303033184459e-07,1.11803919816007e-07,-1.71360015251101e-06,-8.27404130248171e-07,-5.69012844695284e-07,1.02059822721234e-07,-1.35724847591957e-06,1.00527834324386e-06,-5.25292525470053e-07,-1.90843445806913e-06,-6.20940047429225e-07,1.63477116966628e-06,-3.87701696584225e-06,-7.01560814524379e-07,-7.49244175838812e-07,-1.43921926537085e-06,-9.52636468729072e-07,1.08944636950113e-06,-1.72542697912314e-06,2.81089379588788e-06,-4.46766742972984e-06,-1.49446312043491e-06,-2.16563388805471e-06,-1.20219516263781e-06,-5.91708055841007e-06,-3.53831568564722e-06,-1.2988248325005e-06,8.26319199194993e-07,3.7379798449238e-07,1.74211446763245e-06,-2.18305221594279e-06,1.62012736999037e-06,-2.5968833681594e-06,2.69961467983893e-06,-1.69902326149735e-06,-6.77859884580586e-07,1.53960897184002e-07,3.81937502590107e-06,-2.06025340739708e-06,-1.51506152966529e-06,8.83681939809789e-08,-1.79584589083506e-06,-1.24904851893442e-08,3.60488019246288e-08,-2.00816830277686e-06,-4.35399559614223e-07,-2.5404883898775e-07,-1.14587550197116e-06,-1.62035107380274e-06,-4.20402829710019e-06,6.88709514368521e-07
-1.13144747866782e-06,-2.65390266569113e-07,-9.46746410857424e-07,-1.47737813838955e-06,-6.79542944464933e-07,-1.03181871230218e-06,-1.29568825293868e-06,-1.33876517722632e-06,-4.52958644161101e-06,-2.55717664924853e-06,-1.31916741564422e-05,-7.24563738519962e-07,8.58224033145727e-07,-1.69532535444798e-06,1.51069462586768e-06,-2.75600725525258e-06,-1.74643903091813e-06,-1.47567335666152e-06,-2.90638127318951e-07,-8.56345633390838e-07,4.07482791281627e-07,-8.14117913340885e-07,-3.32064684720109e-08,-1.65661095934006e-06,-9.24830711110381e-07,-5.24676623325983e-07,-7.34578043659928e-09,-1.30574929693157e-06,9.09102138515866e-07,-5.25179195067369e-07,-1.93081741541724e-06,-6.06613170293053e-07,1.65982295199293e-06,-3.86232061871632e-06,-7.02076222909658e-07,-7.32445151609117e-07,-1.46590534515028e-06,-9.20967511922369e-07,1.09260002147125e-06,-1.65292906068028e-06,2.84628780109064e-06,-4.48764867264942e-06,-1.50694311237921e-06,-2.14473533456752e-06,-1.28713862100565e-06,-5.80008489379277e-06,-3.560351346938e-06,-1.27678496661206e-06,8.73239734091249e-07,4.31552917155051e-07,1.65770513460329e-06,-2.14272170633936e-06,1.60671102510271e-06,-2.57783977041157e-06,2.62086514406853e-06,-1.6550891887769e-06,-7.13089127124292e-07,1.95741987704913e-07,3.7805091069809e-06,-2.05769559078694e-06,-1.37245036565145e-06,8.40120682427151e-08,-1.86068871515809e-06,3.15291121334769e-09,-9.20377847182049e-08,-1.90321155341317e-06,-4.9492656005771e-07,-2.3785932588976e-07,-1.20674561909097e-06,-1.60656687654802e-06,-4.34376051774503e-06,6.87684422719713e-07
-1.14866599384003e-06,-2.39454946786086e-07,-9.8866637940592e-07,-1.45241963288543e-06,-7.38410609096642e-07,-9.81426113796515e-07,-1.35539567090597e-06,-1.31424301784848e-06,-4.54579342871181e-06,-2.5124472765107e-06,-1.32840492771691e-05,-6.82727859463423e-07,8.35593971888867e-07,-1.65938486116917e-06,1.40261220303404e-06,-2.70275657664118e-06,-1.73621882302146e-06,-1.46427924026648e-06,-3.48821546362385e-07,-8.39594572173582e-07,3.36168646113689e-07,-7.78299118941443e-07,-1.76326924115391e-07,-1.59842697067604e-06,-1.01872759578683e-06,-4.80114000495251e-07,-1.14605816298589e-07,-1.25407485473291e-06,8.15242245662079e-07,-5.24695961206809e-07,-1.95092418457148e-06,-5.91435493065665e-07,1.681489579213e-06,-3.84196675072802e-06,-7.02566459554152e-07,-7.15830865229892e-07,-1.49074705731838e-06,-8.88852985174498e-07,1.09512779861867e-06,-1.5808197455701e-06,2.87712496285841e-06,-4.50257409625272e-06,-1.5169614568859e-06,-2.12156764523795e-06,-1.3651895830988e-06,-5.68162513764893e-06,-3.57824671177886e-06,-1.25397240781874e-06,9.20490956703646e-07,4.87635009725437e-07,1.5722910035783e-06,-2.09934736107404e-06,1.59090121941495e-06,-2.55502115992466e-06,2.54087884946662e-06,-1.60920460688325e-06,-7.45640180262674e-07,2.37817270535434e-07,3.73739858751364e-06,-2.05248531873427e-06,-1.22022479618291e-06,7.60633689547582e-08,-1.9214481812163e-06,1.76899831790054e-08,-2.19309005595327e-07,-1.79699953490295e-06,-5.53222166232562e-07,-2.21614368820112e-07,-1.2672319462437e-06,-1.5904779399218e-06,-4.47775446814822e-06,6.85357159478215e-07
-1.16458455202104e-06,-2.13444302959834e-07,-1.02852657881973e-06,-1.42592577092177e-06,-7.94967170476263e-07,-9.30975821943682e-07,-1.41226168085155e-06,-1.2888246432639e-06,-4.55838885837536e-06,-2.46530520736804e-06,-1.33611594105689e-05,-6.41837486494748e-07,8.13626365211199e-07,-1.622310853548e-06,1.29707895417564e-06,-2.6481042518782e-06,-1.72245568640585e-06,-1.45219344642361e-06,-4.06125390644044e-07,-8.22372363327678e-07,2.67985865565833e-07,-7.43003485315016e-07,-3.16896391723968e-07,-1.53931368960487e-06,-1.1085724959321e-06,-4.35530477529481e-07,-2.19148192194908e-07,-1.20249446858747e-06,7.24165113284686e-07,-5.23810691959548e-07,-1.96862378463629e-06,-5.7550697570304e-07,1.69976543896344e-06,-3.81608880450601e-06,-7.03075898003092e-07,-6.9943990043912e-07,-1.51364971416002e-06,-8.56412497016032e-07,1.09688672862541e-06,-1.50919181482411e-06,2.90395816273601e-06,-4.51268005143467e-06,-1.52444497819854e-06,-2.096250898679e-06,-1.43614583307489e-06,-5.56215532461348e-06,-3.59183673698337e-06,-1.23044571473343e-06,9.67991382769051e-07,5.41909467641842e-07,1.48617581678614e-06,-2.0531016561615e-06,1.5729288866853e-06,-2.52865630506099e-06,2.45996676905255e-06,-1.56155406219611e-06,-7.75299224323411e-07,2.80086056895116e-07,3.69042786091456e-06,-2.04474926346331e-06,-1.05865559738181e-06,6.45805360719289e-08,-1.97767962479972e-06,3.0934438648445e-08,-3.4512894957353e-07,-1.68981319894973e-06,-6.09949325532508e-07,-2.05358331032345e-07,-1.32682064312445e-06,-1.57218996580043e-06,-4.6054568530596e-06,6.81812264513265e-07
-1.17911003784391e-06,-1.87471870344738e-07,-1.06617921066166e-06,-1.39800559152882e-06,-8.48877412452711e-07,-8.80562173463331e-07,-1.466085074154e-06,-1.26255766126494e-06,-4.56725933505171e-06,-2.41586067847526e-06,-1.34229532639608e-05,-6.01781698926124e-07,7.92618086205465e-07,-1.58417394476316e-06,1.19455884608213e-06,-2.5922168514751e-06,-1.70464995591806e-06,-1.43941123146559e-06,-4.62293835075894e-07,-8.04747540988854e-07,2.03376866367441e-07,-7.08384889848975e-07,-4.54266929433892e-07,-1.47953720096202e-06,-1.1938570128484e-06,-3.91133138840262e-07,-3.20416559170168e-07,-1.15127546131568e-06,6.36328479090006e-07,-5.22494158534381e-07,-1.98379073111796e-06,-5.58931325952353e-07,1.71465608291948e-06,-3.78484169606545e-06,-7.0365303899653e-07,-6.83309068270115e-07,-1.53452485031433e-06,-8.23767096830438e-07,1.09773121851822e-06,-1.438133520497e-06,2.92734279615868e-06,-4.51820909150453e-06,-1.52932871600841e-06,-2.06891330835142e-06,-1.49984804096268e-06,-5.4421072540423e-06,-3.60096816232831e-06,-1.20626619941311e-06,1.01566114421231e-06,5.94248782237362e-07,1.39966549978224e-06,-2.0041676384096e-06,1.55302566037833e-06,-2.49898209789212e-06,2.37844229116442e-06,-1.51232891164741e-06,-8.01866973700058e-07,3.22446186443799e-07,3.63998975894586e-06,-2.03462158365552e-06,-8.88052534244713e-07,4.96383169342687e-08,-2.02895871642089e-06,4.27061227020717e-08,-4.68872077601887e-07,-1.58193165220287e-06,-6.64778315216501e-07,-1.89135204695523e-07,-1.38499412848899e-06,-1.55181809479681e-06,-4.72632241717229e-06,6.77130962941721e-07
-1.19215430925039e-06,-1.6165025106559e-07,-1.10148482913083e-06,-1.36877317970868e-06,-8.99822704591361e-07,-8.30277382501197e-07,-1.51668124309458e-06,-1.23549212264434e-06,-4.5722987863971e-06,-2.36423403760861e-06,-1.3469428767142e-05,-5.62451134371637e-07,7.72858796485718e-07,-1.54505159581899e-06,1.09549872878169e-06,-2.53526464270886e-06,-1.68232036811556e-06,-1.42593174906384e-06,-5.17076495654685e-07,-7.8678864977575e-07,1.42765418724313e-07,-6.74593132601223e-07,-5.87808029398552e-07,-1.41936247546107e-06,-1.27409038508842e-06,-3.47129220702932e-07,-4.17874083579891e-07,-1.10068150214102e-06,5.52177633749283e-07,-5.20720183705453e-07,-1.9963064298678e-06,-5.41815108137412e-07,1.72617787655863e-06,-3.74840072863733e-06,-7.04350227573374e-07,-6.6747321592186e-07,-1.55329100747674e-06,-7.91038384225153e-07,1.09751335375884e-06,-1.36772848868063e-06,2.94783249252433e-06,-4.51940787073629e-06,-1.53155675946218e-06,-2.03969022534555e-06,-1.55617987782687e-06,-5.32188915695558e-06,-3.60550054815067e-06,-1.18149737674374e-06,1.06342172254681e-06,6.4453331984843e-07,1.31306552805517e-06,-1.95273753434104e-06,1.53142179522053e-06,-2.46624165356728e-06,2.29661874215982e-06,-1.46172591636125e-06,-8.25160701603923e-07,3.64794668226762e-07,3.58648216160925e-06,-2.02224273633067e-06,-7.0876364220776e-07,3.13271460527337e-08,-2.07488486841659e-06,5.28323859183724e-08,-5.8992676355105e-07,-1.47363190699141e-06,-7.17389179058951e-07,-1.72988390437043e-07,-1.44123564753411e-06,-1.52948584677388e-06,-4.83981894398734e-06,6.71390804155739e-07
-1.20363503376844e-06,-1.36090268473007e-07,-1.13431341114872e-06,-1.33834687545881e-06,-9.47503238862173e-07,-7.80211572914335e-07,-1.56388358344516e-06,-1.20768020748016e-06,-4.57340974337283e-06,-2.31055486081753e-06,-1.35006332144962e-05,-5.23739038130896e-07,7.54628468157505e-07,-1.50502766622529e-06,1.00032501024343e-06,-2.47742073619102e-06,-1.65500961945009e-06,-1.41175813579949e-06,-5.70230261980181e-07,-7.68563805137077e-07,8.65533121663088e-08,-6.41772841652095e-07,-7.16910856674903e-07,-1.35905168925349e-06,-1.34880317999062e-06,-3.03724664100373e-07,-5.11007095608866e-07,-1.05097097941146e-06,4.72141705700932e-07,-5.18465767417592e-07,-2.00606055489897e-06,-5.24266818646111e-07,1.73435757268737e-06,-3.70696034717768e-06,-7.0522330961902e-07,-6.51965039857835e-07,-1.56987448829914e-06,-7.5834760500318e-07,1.09608324072351e-06,-1.29805564432049e-06,2.96597495930136e-06,-4.51652512434879e-06,-1.53108303184444e-06,-2.00872309280849e-06,-1.6050677728427e-06,-5.20188465146474e-06,-3.60530727150832e-06,-1.15620439688537e-06,1.11119568207466e-06,6.9265189570114e-07,1.22667828366975e-06,-1.89901129573718e-06,1.50834413008825e-06,-2.43068239361588e-06,2.21480688684571e-06,-1.40994578860236e-06,-8.45016160370554e-07,4.07028322142214e-07,3.53030455369715e-06,-2.00775824747018e-06,-5.21174305633101e-07,9.75246240345146e-09,-2.11508448949229e-06,6.11493879281792e-08,-7.07698698491587e-07,-1.36518868925532e-06,-7.67474118988502e-07,-1.56960479826593e-07,-1.49503387727848e-06,-1.50532401506005e-06,-4.94543227622851e-06,6.64665370688885e-07
-1.21347648063755e-06,-1.10900138108564e-07,-1.16454536802455e-06,-1.30684844154659e-06,-9.91640133311541e-07,-7.3045282389123e-07,-1.60754474173738e-06,-1.17917590020112e-06,-4.57050459096017e-06,-2.25496099519616e-06,-1.35166631280024e-05,-4.85542241539687e-07,7.38194988996265e-07,-1.46419190529167e-06,9.09440452875215e-07,-2.41886020799005e-06,-1.62228977993847e-06,-1.39689756930665e-06,-6.21521087215058e-07,-7.50140266930942e-07,3.51171369845245e-08,-6.10062410617127e-07,-8.4099237533052e-07,-1.29886257231577e-06,-1.41755090170862e-06,-2.61122664863498e-07,-5.9932859053251e-07,-1.0023954110042e-06,3.96630002636674e-07,-5.15711188857088e-07,-2.01295239677917e-06,-5.0639593834086e-07,1.73923180338567e-06,-3.66073274456221e-06,-7.06331238654487e-07,-6.36814907254421e-07,-1.58421007992525e-06,-7.25814741714462e-07,1.09328938130296e-06,-1.22918915321843e-06,2.9823079782874e-06,-4.50980973981135e-06,-1.52787202168466e-06,-1.97615836246491e-06,-1.64648034181144e-06,-5.08245196117452e-06,-3.60027647530804e-06,-1.13045346669282e-06,1.1589064008823e-06,7.38502324505828e-07,1.14080042786248e-06,-1.84319509655901e-06,1.48401411159702e-06,-2.39255413488762e-06,2.13331243234775e-06,-1.35719170606946e-06,-8.61289377504987e-07,4.49044419171787e-07,3.47185456264924e-06,-1.99131745102398e-06,-3.25706146252169e-07,-1.49660320800493e-08,-2.1492140636212e-06,6.75033272904083e-08,-8.21614154084096e-07,-1.25687428235024e-06,-8.14739823602036e-07,-1.41093041462584e-07,-1.54588751728494e-06,-1.47946953091593e-06,-5.04267130639032e-06,6.57024057144898e-07
-1.22161026713227e-06,-8.61846606720841e-08,-1.19207248882356e-06,-1.27440219924031e-06,-1.03197739563441e-06,-6.8108721896413e-07,-1.64753769325985e-06,-1.1500346563792e-06,-4.56350675475498e-06,-2.19759754848893e-06,-1.35176638615437e-05,-4.47762051650329e-07,7.23811872944196e-07,-1.42263938743524e-06,8.2322111012959e-07,-2.35975919931653e-06,-1.58376749885755e-06,-1.38136130187997e-06,-6.70725720540285e-07,-7.31584029473143e-07,-1.11947956036689e-08,-5.79592975665164e-07,-9.59499330144842e-07,-1.23904679907273e-06,-1.47991748542942e-06,-2.19522235177966e-07,-6.82381558880868e-07,-9.55197900672081e-07,3.26028446373623e-07,-5.12440085320426e-07,-2.01689216936319e-06,-4.88311972774606e-07,1.74084648616708e-06,-3.60994633426653e-06,-7.07735647439401e-07,-6.22050688222356e-07,-1.59624174803632e-06,-6.93557608892499e-07,1.08897906633169e-06,-1.16119838060027e-06,2.99735557822213e-06,-4.49950893047178e-06,-1.52189945852187e-06,-1.94214638366757e-06,-1.6804275209694e-06,-4.96392337073701e-06,-3.59031196545301e-06,-1.10431126630336e-06,1.20647779445593e-06,7.81991936361876e-07,1.05572031540072e-06,-1.7854997972207e-06,1.4586458980168e-06,-2.35210720701226e-06,2.05243356094572e-06,-1.30366780917266e-06,-8.73858309303791e-07,4.90741320167442e-07,3.41152451478572e-06,-1.97307220629742e-06,-1.22815738007136e-07,-4.26951674445841e-08,-2.17696303190946e-06,7.17515895704648e-08,-9.31123098767277e-07,-1.14895838952422e-06,-8.58909715933629e-07,-1.25426411718396e-07,-1.59330981777907e-06,-1.4520643125662e-06,-5.13107288853725e-06,6.48531918186068e-07
-1.22797605877262e-06,-6.20444424508046e-08,-1.21679880804065e-06,-1.24113414215837e-06,-1.06828374156529e-06,-6.32198889424866e-07,-1.68375664071957e-06,-1.12031306395986e-06,-4.55235179430574e-06,-2.138615845802e-06,-1.35038289622982e-05,-4.10305039268096e-07,7.11716095923712e-07,-1.38046989587291e-06,7.42013422499467e-07,-2.30029399723749e-06,-1.53908894355719e-06,-1.36516467262696e-06,-7.17633368180792e-07,-7.12959430709887e-07,-5.20653722183085e-08,-5.50487439395174e-07,-1.07191205433047e-06,-1.17984843390439e-06,-1.53551864746285e-06,-1.79116790780934e-07,-7.59742123345996e-07,-9.09611649311722e-07,2.60696135246151e-07,-5.08639508685708e-07,-2.01780226443352e-06,-4.70123491242103e-07,1.73925614323972e-06,-3.5548441078132e-06,-7.09500400087331e-07,-6.07697599898671e-07,-1.60592330191561e-06,-6.61690964336829e-07,1.08299877192522e-06,-1.09414786746054e-06,3.01162440171355e-06,-4.48586652103215e-06,-1.5131529341348e-06,-1.90684027565023e-06,-1.70695944524905e-06,-4.84660489172873e-06,-3.57533405181084e-06,-1.07784436671081e-06,1.25383402498697e-06,8.23038045551834e-07,9.71715476445704e-07,-1.72613939347608e-06,1.43244456341966e-06,-2.30959062230401e-06,1.97245851645113e-06,-1.24957769824797e-06,-8.826243357506e-07,5.32019112190785e-07,3.34969804765076e-06,-1.95317560464844e-06,8.70068318686531e-08,-7.32891461833239e-08,-2.19805645918986e-06,7.37638067609647e-08,-1.03570216167975e-06,-1.04170799697785e-06,-8.9972610406719e-07,-1.09999491484519e-07,-1.63683300278721e-06,-1.42325411106869e-06,-5.21020662666369e-06,6.39249583443956e-07
